N Tempo_ms
1000 0.000000
2000 0.000000
3000 0.000000
4000 0.000000
5000 0.000000
6000 0.000000
7000 0.000000
8000 0.000000
9000 0.000000
10000 0.000000
11000 0.000000
12000 0.000000
13000 0.000000
14000 7.000000
15000 0.000000
16000 0.000000
17000 0.000000
18000 0.000000
19000 0.000000
20000 2.000000
21000 0.000000
22000 0.000000
23000 0.000000
24000 2.000000
25000 0.000000
26000 0.000000
27000 0.000000
28000 2.000000
29000 0.000000
30000 0.000000
31000 4.000000
32000 0.000000
33000 2.000000
34000 0.000000
35000 0.000000
36000 0.000000
37000 0.000000
38000 0.000000
39000 0.000000
40000 0.000000
41000 0.000000
42000 0.000000
43000 12.000000
44000 3.000000
45000 2.000000
46000 2.000000
47000 2.000000
48000 4.000000
49000 2.000000
50000 0.000000
51000 0.000000
52000 6.000000
53000 4.000000
54000 0.000000
55000 0.000000
56000 4.000000
57000 0.000000
58000 4.000000
59000 3.000000
60000 1.000000
61000 0.000000
62000 0.000000
63000 0.000000
64000 8.000000
65000 0.000000
66000 0.000000
67000 0.000000
68000 0.000000
69000 9.000000
70000 0.000000
71000 0.000000
72000 0.000000
73000 8.000000
74000 0.000000
75000 0.000000
76000 0.000000
77000 8.000000
78000 0.000000
79000 0.000000
80000 8.000000
81000 0.000000
82000 0.000000
83000 0.000000
84000 8.000000
85000 2.000000
86000 0.000000
87000 6.000000
88000 2.000000
89000 0.000000
90000 7.000000
91000 1.000000
92000 0.000000
93000 7.000000
94000 0.000000
95000 0.000000
96000 10.000000
97000 0.000000
98000 9.000000
99000 0.000000
100000 6.000000
101000 0.000000
102000 8.000000
103000 5.000000
104000 4.000000
105000 3.000000
106000 6.000000
107000 3.000000
108000 4.000000
109000 4.000000
110000 3.000000
111000 3.000000
112000 3.000000
113000 4.000000
114000 2.000000
115000 4.000000
116000 4.000000
117000 0.000000
118000 7.000000
119000 0.000000
120000 8.000000
121000 0.000000
122000 0.000000
123000 0.000000
124000 0.000000
125000 16.000000
126000 0.000000
127000 0.000000
128000 0.000000
129000 0.000000
130000 15.000000
131000 0.000000
132000 0.000000
133000 0.000000
134000 0.000000
135000 16.000000
136000 0.000000
137000 0.000000
138000 0.000000
139000 16.000000
140000 0.000000
141000 0.000000
142000 0.000000
143000 0.000000
144000 0.000000
145000 0.000000
146000 0.000000
147000 0.000000
148000 17.000000
149000 0.000000
150000 0.000000
151000 0.000000
152000 14.000000
153000 0.000000
154000 0.000000
155000 0.000000
156000 16.000000
157000 0.000000
158000 0.000000
159000 0.000000
160000 18.000000
161000 4.000000
162000 4.000000
163000 4.000000
164000 2.000000
165000 0.000000
166000 0.000000
167000 16.000000
168000 0.000000
169000 0.000000
170000 0.000000
171000 16.000000
172000 0.000000
173000 0.000000
174000 16.000000
175000 0.000000
176000 0.000000
177000 0.000000
178000 16.000000
179000 0.000000
180000 0.000000
181000 0.000000
182000 0.000000
183000 0.000000
184000 0.000000
185000 16.000000
186000 0.000000
187000 0.000000
188000 17.000000
189000 0.000000
190000 0.000000
191000 15.000000
192000 0.000000
193000 0.000000
194000 15.000000
195000 0.000000
196000 0.000000
197000 20.000000
198000 6.000000
199000 6.000000
200000 0.000000
201000 0.000000
202000 15.000000
203000 2.000000
204000 0.000000
